Temperature,Pressure,Viscosity
90.368,1.14E-05,1281
100,1.10E-04,873.2
120,0.00352,485.8
140,0.03814,319.8
160,0.2141,231.2
200,2.172,138.3
220,4.921,110.1
250,45670,78.19
270,45952,60.94
290,35.16,44.60
90.38,1.0,1281
100,1.0,873.9
120.0,1.0,486.1
140,1.0,320.0
160,1.0,231.3
180,1.0,176.2
184.33,1.0,166.9
90.53,10,1283
100,10,880.2
120,10,489.1
140,10,322.0
160,10,232.8
180,10,177.5
200,10,139.3
220,10,110.7
240,10,87.85
241.1,10,86.70
100,50,909.2
200,50,144.7
300,50,39.65
91.96,100,1310
100,100,947.3
120,100,520.6
140,100,342.0
160,100,248.1
180,100,190.5
200,100,151.3
220,100,122.4
240,100,99.96
260,100,81.74
280,100,66.38
300,100,52.87
100,300,1127
200,300,177.0
300,300,77.61
200,700,230.7
300,700,113.5
